protein_id,pid,ESM2,alignment,domain,z_max,esm_category,refseq_keyword,description
NP_001030978.1,NP_001030978,False,False,False,0.647,defense_signaling,False,NP_001030978.1 RNA-binding (RRM/RBD/RNP motifs) family protein [Arabidopsis thaliana]
NP_001031003.1,NP_001031003,False,False,False,0.676,PR_proteins,False,NP_001031003.1 SCR-like 3 [Arabidopsis thaliana]
NP_001031038.1,NP_001031038,False,False,False,0.362,defense_signaling,True,NP_001031038.1 defensin-like protein [Arabidopsis thaliana]
NP_001031039.1,NP_001031039,False,False,False,0.453,defense_signaling,True,NP_001031039.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031040.1,NP_001031040,False,False,False,-0.802,defense_signaling,True,NP_001031040.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031041.1,NP_001031041,False,False,False,0.546,defense_signaling,True,NP_001031041.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031043.1,NP_001031043,False,False,False,0.439,defense_signaling,True,NP_001031043.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031047.1,NP_001031047,False,False,False,0.552,defense_signaling,False,NP_001031047.1 S locus-related glycoprotein 1 (SLR1) binding pollen coat protein family [Arabidopsis thaliana]
NP_001031049.1,NP_001031049,False,False,False,0.866,cell_death_HR,False,NP_001031049.1 Lactoylglutathione lyase / glyoxalase I family protein [Arabidopsis thaliana]
NP_001031052.1,NP_001031052,False,False,False,0.588,RLK_defense,False,NP_001031052.1 Molecular chaperone Hsp40/DnaJ family protein [Arabidopsis thaliana]
NP_001031087.1,NP_001031087,False,False,False,0.438,defense_signaling,False,NP_001031087.1 Cysteine-rich protein [Arabidopsis thaliana]
NP_001031101.1,NP_001031101,False,False,False,0.491,RLK_defense,False,NP_001031101.1 low-molecular-weight cysteine-rich 31 [Arabidopsis thaliana]
NP_001031123.1,NP_001031123,False,False,False,-1.299,defense_signaling,True,NP_001031123.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031130.1,NP_001031130,False,False,False,0.522,PR_proteins,False,NP_001031130.1 Cysteine-rich protein [Arabidopsis thaliana]
NP_001031134.1,NP_001031134,False,False,False,0.516,PR_proteins,True,NP_001031134.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031138.4,NP_001031138,False,False,False,0.463,PR_proteins,True,NP_001031138.4 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031141.1,NP_001031141,False,False,False,0.544,defense_signaling,False,NP_001031141.1 Putative membrane lipoprotein [Arabidopsis thaliana]
NP_001031142.1,NP_001031142,False,False,False,0.507,RLK_defense,True,NP_001031142.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031152.1,NP_001031152,False,False,False,0.381,defense_signaling,True,NP_001031152.1 defensin-like protein [Arabidopsis thaliana]
NP_001031155.4,NP_001031155,False,False,False,0.542,defense_signaling,True,NP_001031155.4 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001031162.1,NP_001031162,False,False,False,0.575,PR_proteins,False,NP_001031162.1 low-molecular-weight cysteine-rich 16 [Arabidopsis thaliana]
NP_001031163.1,NP_001031163,False,False,False,0.458,defense_signaling,True,NP_001031163.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031175.1,NP_001031175,False,False,False,1.208,PR_proteins,False,NP_001031175.1 beta glucosidase 18 [Arabidopsis thaliana]
NP_001031181.1,NP_001031181,False,False,False,0.796,defense_signaling,True,NP_001031181.1 mitogen-activated protein kinase kinase kinase 3 [Arabidopsis thaliana]
NP_001031198.1,NP_001031198,False,False,False,0.376,RLK_defense,False,NP_001031198.1 Protein of unknown function (PD694200) [Arabidopsis thaliana]
NP_001031200.1,NP_001031200,False,False,False,0.487,defense_signaling,True,NP_001031200.1 defensin-like protein [Arabidopsis thaliana]
NP_001031204.1,NP_001031204,False,False,False,0.425,RLK_defense,True,NP_001031204.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031207.1,NP_001031207,True,True,True,2.14,NBS_LRR,True,NP_001031207.1 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana]
NP_001031209.1,NP_001031209,False,False,False,0.446,defense_signaling,True,NP_001031209.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031212.1,NP_001031212,False,False,False,0.367,defense_signaling,False,NP_001031212.1 SCR-like 8 [Arabidopsis thaliana]
NP_001031213.1,NP_001031213,False,False,False,0.524,defense_signaling,False,NP_001031213.1 SCR-like 4 [Arabidopsis thaliana]
NP_001031214.1,NP_001031214,False,False,False,0.562,defense_signaling,False,NP_001031214.1 SCR-like 7 [Arabidopsis thaliana]
NP_001031216.1,NP_001031216,True,True,True,2.224,NBS_LRR,True,NP_001031216.1 LRR and NB-ARC domains-containing disease resistance protein [Arabidopsis thaliana]
NP_001031218.2,NP_001031218,False,False,False,0.421,defense_signaling,True,NP_001031218.2 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031224.1,NP_001031224,False,False,False,0.326,defense_signaling,True,NP_001031224.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031226.1,NP_001031226,False,False,False,0.45,defense_signaling,False,NP_001031226.1 Putative membrane lipoprotein [Arabidopsis thaliana]
NP_001031227.2,NP_001031227,False,False,False,0.357,defense_signaling,True,NP_001031227.2 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031236.1,NP_001031236,False,False,False,0.577,defense_signaling,False,NP_001031236.1 SCR-like 2 [Arabidopsis thaliana]
NP_001031237.1,NP_001031237,False,False,False,0.514,RLK_defense,False,NP_001031237.1 Putative membrane lipoprotein [Arabidopsis thaliana]
NP_001031253.1,NP_001031253,False,False,False,0.448,defense_signaling,True,NP_001031253.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031254.1,NP_001031254,False,False,False,0.454,defense_signaling,True,NP_001031254.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031257.1,NP_001031257,False,False,False,0.507,RLK_defense,True,NP_001031257.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031258.1,NP_001031258,False,False,False,0.476,PR_proteins,True,NP_001031258.1 defensin-like protein [Arabidopsis thaliana]
NP_001031259.1,NP_001031259,False,False,False,0.418,defense_signaling,True,NP_001031259.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031264.4,NP_001031264,False,False,False,0.459,defense_signaling,False,NP_001031264.4 TIFY domain/Divergent CCT motif family protein [Arabidopsis thaliana]
NP_001031265.1,NP_001031265,False,False,False,-0.771,cell_death_HR,False,NP_001031265.1 MLP-like protein 34 [Arabidopsis thaliana]
NP_001031266.1,NP_001031266,False,False,False,0.557,cell_death_HR,False,NP_001031266.1 protein tyrosine phosphatase 1 [Arabidopsis thaliana]
NP_001031275.1,NP_001031275,False,False,False,0.464,defense_signaling,False,NP_001031275.1 low-molecular-weight cysteine-rich 64 [Arabidopsis thaliana]
NP_001031276.1,NP_001031276,False,False,False,0.483,defense_signaling,False,NP_001031276.1 low-molecular-weight cysteine-rich 65 [Arabidopsis thaliana]
NP_001031288.1,NP_001031288,False,False,False,0.519,RLK_defense,True,NP_001031288.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031290.1,NP_001031290,False,False,False,0.31,defense_signaling,True,NP_001031290.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031308.1,NP_001031308,False,False,False,0.092,defense_signaling,True,NP_001031308.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031309.1,NP_001031309,False,False,False,0.488,defense_signaling,True,NP_001031309.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031310.1,NP_001031310,False,False,False,0.455,defense_signaling,False,NP_001031310.1 Cysteine-rich protein [Arabidopsis thaliana]
NP_001031311.1,NP_001031311,False,False,False,0.43,defense_signaling,True,NP_001031311.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031312.1,NP_001031312,False,False,False,-0.227,defense_signaling,True,NP_001031312.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031313.1,NP_001031313,False,False,False,0.306,defense_signaling,True,NP_001031313.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031314.1,NP_001031314,False,False,False,0.498,RLK_defense,False,NP_001031314.1 Cysteine-rich protein [Arabidopsis thaliana]
NP_001031315.1,NP_001031315,False,False,False,0.38,defense_signaling,False,NP_001031315.1 Putative membrane lipoprotein [Arabidopsis thaliana]
NP_001031316.1,NP_001031316,False,False,False,0.516,defense_signaling,True,NP_001031316.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031317.1,NP_001031317,False,False,False,0.44,RLK_defense,True,NP_001031317.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031319.1,NP_001031319,False,False,False,0.257,RLK_defense,False,NP_001031319.1 low-molecular-weight cysteine-rich 82 [Arabidopsis thaliana]
NP_001031322.1,NP_001031322,False,False,False,0.472,defense_signaling,False,NP_001031322.1 Putative membrane lipoprotein [Arabidopsis thaliana]
NP_001031324.1,NP_001031324,False,False,False,0.639,defense_signaling,False,NP_001031324.1 SCR-like 9 [Arabidopsis thaliana]
NP_001031326.1,NP_001031326,False,False,False,0.502,defense_signaling,False,NP_001031326.1 SCR-like 15 [Arabidopsis thaliana]
NP_001031341.1,NP_001031341,False,False,False,0.385,defense_signaling,True,NP_001031341.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031342.1,NP_001031342,False,False,False,0.167,defense_signaling,False,NP_001031342.1 SCR-like 16 [Arabidopsis thaliana]
NP_001031345.1,NP_001031345,False,False,False,0.259,defense_signaling,False,NP_001031345.1 low-molecular-weight cysteine-rich 29 [Arabidopsis thaliana]
NP_001031349.1,NP_001031349,False,False,False,0.46,RLK_defense,False,NP_001031349.1 low-molecular-weight cysteine-rich 50 [Arabidopsis thaliana]
NP_001031350.1,NP_001031350,False,False,False,0.472,defense_signaling,True,NP_001031350.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031353.1,NP_001031353,False,False,False,0.408,defense_signaling,True,NP_001031353.1 defensin-like protein [Arabidopsis thaliana]
NP_001031354.1,NP_001031354,False,False,False,0.491,defense_signaling,False,NP_001031354.1 SCR-like 18 [Arabidopsis thaliana]
NP_001031355.1,NP_001031355,False,False,False,0.535,RLK_defense,False,NP_001031355.1 low-molecular-weight cysteine-rich 84 [Arabidopsis thaliana]
NP_001031356.1,NP_001031356,False,False,False,0.514,RLK_defense,False,NP_001031356.1 low-molecular-weight cysteine-rich 40 [Arabidopsis thaliana]
NP_001031365.1,NP_001031365,False,False,False,0.38,defense_signaling,True,NP_001031365.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031376.1,NP_001031376,False,False,False,0.423,defense_signaling,True,NP_001031376.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031377.1,NP_001031377,False,False,False,0.691,RLK_defense,False,NP_001031377.1 low-molecular-weight cysteine-rich 60 [Arabidopsis thaliana]
NP_001031378.1,NP_001031378,False,False,False,0.425,defense_signaling,True,NP_001031378.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031381.1,NP_001031381,False,False,False,1.151,cell_death_HR,True,NP_001031381.1 diacylglycerol kinase 5 [Arabidopsis thaliana]
NP_001031388.1,NP_001031388,False,False,False,0.474,defense_signaling,True,NP_001031388.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031392.1,NP_001031392,False,False,False,0.468,defense_signaling,True,NP_001031392.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031393.1,NP_001031393,False,False,False,0.51,RLK_defense,False,NP_001031393.1 low-molecular-weight cysteine-rich 35 [Arabidopsis thaliana]
NP_001031395.1,NP_001031395,False,False,False,0.236,defense_signaling,False,NP_001031395.1 Cysteine-rich protein [Arabidopsis thaliana]
NP_001031398.1,NP_001031398,False,False,False,0.482,defense_signaling,True,NP_001031398.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031399.1,NP_001031399,False,False,False,0.467,defense_signaling,True,NP_001031399.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031408.1,NP_001031408,False,False,False,0.482,PR_proteins,True,NP_001031408.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031410.1,NP_001031410,False,False,False,0.465,defense_signaling,True,NP_001031410.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031411.1,NP_001031411,False,False,False,0.475,RLK_defense,True,NP_001031411.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031412.1,NP_001031412,False,False,False,0.526,defense_signaling,False,NP_001031412.1 low-molecular-weight cysteine-rich 81 [Arabidopsis thaliana]
NP_001031413.1,NP_001031413,False,False,False,0.338,RLK_defense,False,NP_001031413.1 low-molecular-weight cysteine-rich 14 [Arabidopsis thaliana]
NP_001031414.1,NP_001031414,False,False,False,0.405,defense_signaling,False,NP_001031414.1 SCR-like 17 [Arabidopsis thaliana]
NP_001031429.1,NP_001031429,False,False,False,0.478,RLK_defense,False,NP_001031429.1 low-molecular-weight cysteine-rich 9 [Arabidopsis thaliana]
NP_001031436.1,NP_001031436,False,False,False,0.528,RLK_defense,False,NP_001031436.1 low-molecular-weight cysteine-rich 32 [Arabidopsis thaliana]
NP_001031439.1,NP_001031439,False,True,False,1.513,RLK_defense,True,NP_001031439.1 protein kinase 1B [Arabidopsis thaliana]
NP_001031440.1,NP_001031440,False,True,False,1.515,RLK_defense,True,NP_001031440.1 protein kinase 1B [Arabidopsis thaliana]
NP_001031441.1,NP_001031441,False,False,False,0.709,RLK_defense,False,NP_001031441.1 low-molecular-weight cysteine-rich 62 [Arabidopsis thaliana]
NP_001031442.1,NP_001031442,False,False,False,0.324,antimicrobial,False,NP_001031442.1 senescence-associated gene 13 [Arabidopsis thaliana]
NP_001031460.1,NP_001031460,False,False,False,0.713,NBS_LRR,False,NP_001031460.1 low-molecular-weight cysteine-rich 76 [Arabidopsis thaliana]
NP_001031470.1,NP_001031470,False,False,False,0.507,RLK_defense,False,NP_001031470.1 low-molecular-weight cysteine-rich 49 [Arabidopsis thaliana]
NP_001031472.1,NP_001031472,False,False,False,1.02,cell_death_HR,False,NP_001031472.1 Caleosin-related family protein [Arabidopsis thaliana]
NP_001031473.1,NP_001031473,False,False,False,0.249,defense_signaling,False,NP_001031473.1 Cysteine-rich protein [Arabidopsis thaliana]
NP_001031485.1,NP_001031485,False,False,False,0.68,defense_signaling,False,NP_001031485.1 transcription activator [Arabidopsis thaliana]
NP_001031491.1,NP_001031491,False,False,False,0.514,RLK_defense,True,NP_001031491.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031522.1,NP_001031522,False,False,False,0.537,defense_signaling,False,NP_001031522.1 Molecular chaperone Hsp40/DnaJ family protein [Arabidopsis thaliana]
NP_001031566.1,NP_001031566,False,False,False,0.994,cell_death_HR,False,NP_001031566.1 RNA-binding (RRM/RBD/RNP motifs) family protein [Arabidopsis thaliana]
NP_001031578.1,NP_001031578,False,False,False,0.957,antimicrobial,False,NP_001031578.1 Seven transmembrane MLO family protein [Arabidopsis thaliana]
NP_001031589.1,NP_001031589,False,False,False,0.535,defense_signaling,False,NP_001031589.1 zinc finger (C2H2 type) family protein [Arabidopsis thaliana]
NP_001031591.1,NP_001031591,False,False,False,0.535,defense_signaling,False,NP_001031591.1 Molecular chaperone Hsp40/DnaJ family protein [Arabidopsis thaliana]
NP_001031592.1,NP_001031592,False,False,False,-1.285,defense_signaling,True,NP_001031592.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031595.1,NP_001031595,False,False,False,0.362,defense_signaling,True,NP_001031595.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031600.1,NP_001031600,False,False,False,0.404,defense_signaling,False,NP_001031600.1 Putative membrane lipoprotein [Arabidopsis thaliana]
NP_001031603.1,NP_001031603,False,False,False,0.39,defense_signaling,False,NP_001031603.1 Putative membrane lipoprotein [Arabidopsis thaliana]
NP_001031604.1,NP_001031604,False,False,False,0.656,RLK_defense,False,NP_001031604.1 low-molecular-weight cysteine-rich 36 [Arabidopsis thaliana]
NP_001031605.1,NP_001031605,False,False,False,0.5,defense_signaling,False,NP_001031605.1 S locus-related glycoprotein 1 (SLR1) binding pollen coat protein family [Arabidopsis thaliana]
NP_001031606.1,NP_001031606,False,False,False,0.463,RLK_defense,False,NP_001031606.1 low-molecular-weight cysteine-rich 13 [Arabidopsis thaliana]
NP_001031607.1,NP_001031607,False,False,False,0.459,defense_signaling,False,NP_001031607.1 low-molecular-weight cysteine-rich 34 [Arabidopsis thaliana]
NP_001031608.1,NP_001031608,False,False,False,0.399,defense_signaling,False,NP_001031608.1 SCR-like 20 [Arabidopsis thaliana]
NP_001031611.1,NP_001031611,False,False,False,0.569,defense_signaling,False,NP_001031611.1 SCR-like 1 [Arabidopsis thaliana]
NP_001031613.1,NP_001031613,False,False,False,0.513,defense_signaling,False,NP_001031613.1 S locus-related glycoprotein 1 (SLR1) binding pollen coat protein family [Arabidopsis thaliana]
NP_001031616.1,NP_001031616,False,False,False,-0.053,defense_signaling,False,NP_001031616.1 SCR-like 21 [Arabidopsis thaliana]
NP_001031618.1,NP_001031618,False,False,False,0.512,RLK_defense,True,NP_001031618.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031619.1,NP_001031619,False,False,False,0.449,defense_signaling,False,NP_001031619.1 low-molecular-weight cysteine-rich 11 [Arabidopsis thaliana]
NP_001031623.1,NP_001031623,False,False,False,0.55,RLK_defense,False,NP_001031623.1 low-molecular-weight cysteine-rich 37 [Arabidopsis thaliana]
NP_001031630.1,NP_001031630,False,False,False,0.543,defense_signaling,False,NP_001031630.1 Protein of unknown function (PD694200) [Arabidopsis thaliana]
NP_001031635.5,NP_001031635,False,False,False,0.279,defense_signaling,True,NP_001031635.5 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031636.2,NP_001031636,False,False,False,0.5,defense_signaling,True,NP_001031636.2 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031643.1,NP_001031643,False,False,False,0.562,defense_signaling,False,NP_001031643.1 SCR-like 23 [Arabidopsis thaliana]
NP_001031648.1,NP_001031648,False,False,False,0.573,defense_signaling,False,NP_001031648.1 SCR-like 11 [Arabidopsis thaliana]
NP_001031652.1,NP_001031652,False,True,True,1.094,NBS_LRR,True,NP_001031652.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001031655.1,NP_001031655,False,False,False,0.577,defense_signaling,False,NP_001031655.1 Putative membrane lipoprotein [Arabidopsis thaliana]
NP_001031656.1,NP_001031656,False,False,False,0.507,defense_signaling,True,NP_001031656.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031666.1,NP_001031666,False,False,False,0.538,RLK_defense,True,NP_001031666.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001031669.1,NP_001031669,False,False,False,0.539,RLK_defense,False,NP_001031669.1 low-molecular-weight cysteine-rich 15 [Arabidopsis thaliana]
NP_001031673.1,NP_001031673,False,False,False,0.536,RLK_defense,False,NP_001031673.1 low-molecular-weight cysteine-rich 38 [Arabidopsis thaliana]
NP_001031678.1,NP_001031678,True,True,False,1.98,cell_death_HR,False,NP_001031678.1 LSD1 zinc finger family protein [Arabidopsis thaliana]
NP_001031679.1,NP_001031679,True,True,False,1.98,cell_death_HR,False,NP_001031679.1 LSD1 zinc finger family protein [Arabidopsis thaliana]
NP_001031680.2,NP_001031680,True,True,False,1.98,cell_death_HR,False,NP_001031680.2 LSD1 zinc finger family protein [Arabidopsis thaliana]
NP_001031681.1,NP_001031681,False,False,False,0.91,defense_signaling,False,NP_001031681.1 JUMONJI 14 [Arabidopsis thaliana]
NP_001031693.1,NP_001031693,False,False,False,0.61,defense_signaling,False,NP_001031693.1 SCR-like 26 [Arabidopsis thaliana]
NP_001031694.1,NP_001031694,False,False,False,0.595,RLK_defense,False,NP_001031694.1 SCR-like 14 [Arabidopsis thaliana]
NP_001031704.1,NP_001031704,False,False,False,1.115,cell_death_HR,False,NP_001031704.1 phosphatase-like protein [Arabidopsis thaliana]
NP_001031711.1,NP_001031711,True,True,False,1.773,cell_death_HR,False,NP_001031711.1 metacaspase 2 [Arabidopsis thaliana]
NP_001031742.1,NP_001031742,False,False,False,0.639,RLK_defense,True,NP_001031742.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
