protein_id,is_curated_GO,pctl_truncated,z_truncated,moderate_truncated,category_truncated,pctl_windowed_mean,z_windowed_mean,moderate_windowed_mean,category_windowed_mean,pctl_windowed_max,z_windowed_max,moderate_windowed_max,category_windowed_max,description,pctl_delta_mean,pctl_delta_max
XP_059599181.1,False,39.458,0.1195,False,defense_signaling,63.262,0.4198,False,defense_signaling,69.63,0.5249,False,cell_death_HR,XP_059599181.1 eukaryotic translation initiation factor 4G isoform X2 [Vitis vinifera],23.804,30.172
XP_059599180.1,False,39.458,0.1195,False,defense_signaling,63.262,0.4198,False,defense_signaling,69.63,0.5249,False,cell_death_HR,XP_059599180.1 eukaryotic translation initiation factor 4G isoform X2 [Vitis vinifera],23.804,30.172
XP_059590004.1,False,64.806,0.4397,False,defense_signaling,84.035,0.6296,False,defense_signaling,94.693,0.7538,False,defense_signaling,XP_059590004.1 uncharacterized protein LOC100855390 isoform X1 [Vitis vinifera],19.229,29.887
XP_002279847.2,False,40.21,-0.0003,False,cell_death_HR,56.431,0.2978,False,cell_death_HR,69.859,0.5299,False,cell_death_HR,"XP_002279847.2 PH, RCC1 and FYVE domains-containing protein 1 [Vitis vinifera]",16.221,29.649
XP_003633464.2,False,13.179,-0.6598,False,defense_signaling,30.186,-0.0659,False,defense_signaling,42.257,0.161,False,defense_signaling,XP_003633464.2 uncharacterized protein LOC100852955 isoform X2 [Vitis vinifera],17.007,29.078
XP_059595936.1,False,68.003,0.4861,False,antimicrobial,87.402,0.8379,False,cell_death_HR,96.722,0.8384,False,PR_proteins,XP_059595936.1 protein MOR1 isoform X2 [Vitis vinifera],19.399,28.719
XP_059595935.1,False,68.003,0.4861,False,antimicrobial,87.374,0.8377,False,cell_death_HR,96.596,0.8368,False,PR_proteins,XP_059595935.1 protein MOR1 isoform X1 [Vitis vinifera],19.371,28.593
XP_059595355.1,False,68.269,0.4753,False,defense_signaling,85.477,0.6477,False,defense_signaling,96.68,0.7851,False,defense_signaling,XP_059595355.1 uncharacterized protein LOC100248757 [Vitis vinifera],17.208,28.411
XP_010658451.1,False,13.133,-0.6622,False,defense_signaling,30.016,-0.0695,False,defense_signaling,40.928,0.1423,False,defense_signaling,XP_010658451.1 uncharacterized protein LOC100852955 isoform X1 [Vitis vinifera],16.883,27.795
XP_059598043.1,False,13.133,-0.6622,False,defense_signaling,30.016,-0.0695,False,defense_signaling,40.928,0.1423,False,defense_signaling,XP_059598043.1 uncharacterized protein LOC100852955 isoform X1 [Vitis vinifera],16.883,27.795
XP_010658452.1,False,13.133,-0.6622,False,defense_signaling,30.016,-0.0695,False,defense_signaling,40.928,0.1423,False,defense_signaling,XP_010658452.1 uncharacterized protein LOC100852955 isoform X1 [Vitis vinifera],16.883,27.795
XP_019078952.1,False,71.486,0.5085,False,defense_signaling,91.524,0.7112,False,defense_signaling,99.148,0.8563,True,defense_signaling,XP_019078952.1 protein CHROMATIN REMODELING 4 [Vitis vinifera],20.038,27.662
XP_010649006.1,False,71.486,0.5085,False,defense_signaling,91.524,0.7112,False,defense_signaling,99.148,0.8563,True,defense_signaling,XP_010649006.1 protein CHROMATIN REMODELING 4 [Vitis vinifera],20.038,27.662
XP_003631193.1,False,71.486,0.5085,False,defense_signaling,91.524,0.7112,False,defense_signaling,99.148,0.8563,True,defense_signaling,XP_003631193.1 protein CHROMATIN REMODELING 4 [Vitis vinifera],20.038,27.662
XP_010651384.1,False,46.207,0.2222,False,defense_signaling,59.734,0.3807,False,defense_signaling,73.804,0.5286,False,defense_signaling,XP_010651384.1 mediator of RNA polymerase II transcription subunit 13 [Vitis vinifera],13.527,27.597
XP_019076638.1,False,69.969,0.4934,False,defense_signaling,84.864,0.6409,False,defense_signaling,97.365,0.7989,False,defense_signaling,XP_019076638.1 piezo-type mechanosensitive ion channel homolog isoform X1 [Vitis vinifera],14.895,27.396
XP_010652101.1,False,69.969,0.4934,False,defense_signaling,84.864,0.6409,False,defense_signaling,97.365,0.7989,False,defense_signaling,XP_010652101.1 piezo-type mechanosensitive ion channel homolog isoform X1 [Vitis vinifera],14.895,27.396
XP_059593833.1,False,69.969,0.4934,False,defense_signaling,84.864,0.6409,False,defense_signaling,97.365,0.7989,False,defense_signaling,XP_059593833.1 piezo-type mechanosensitive ion channel homolog isoform X1 [Vitis vinifera],14.895,27.396
XP_010652873.1,False,57.067,0.3513,False,defense_signaling,70.348,0.4941,False,defense_signaling,84.437,0.6347,False,defense_signaling,XP_010652873.1 uncharacterized protein LOC100247348 isoform X1 [Vitis vinifera],13.281,27.37
XP_010652875.1,False,57.067,0.3513,False,defense_signaling,69.586,0.4862,False,defense_signaling,84.437,0.6347,False,defense_signaling,XP_010652875.1 uncharacterized protein LOC100247348 isoform X2 [Vitis vinifera],12.519,27.37
XP_002267274.1,False,72.337,0.5172,False,defense_signaling,85.502,0.7673,False,cell_death_HR,99.611,1.4411,True,cell_death_HR,"XP_002267274.1 translocase of chloroplast 159, chloroplastic [Vitis vinifera]",13.165,27.274
XP_059590006.1,False,64.806,0.4397,False,defense_signaling,80.254,0.5908,False,defense_signaling,91.827,0.7146,False,defense_signaling,XP_059590006.1 uncharacterized protein LOC100855390 isoform X2 [Vitis vinifera],15.448,27.021
XP_019072704.1,False,38.412,0.1015,False,defense_signaling,52.178,0.2924,False,defense_signaling,65.261,0.4415,False,defense_signaling,XP_019072704.1 increased DNA methylation 1 isoform X2 [Vitis vinifera],13.766,26.849
XP_059591895.1,False,60.18,0.3883,False,defense_signaling,75.97,0.5494,False,defense_signaling,86.7,0.6589,False,defense_signaling,XP_059591895.1 autophagy-related protein 2 isoform X5 [Vitis vinifera],15.79,26.52
XP_002281396.3,False,55.658,0.3346,False,defense_signaling,75.984,0.5495,False,defense_signaling,82.05,0.61,False,defense_signaling,XP_002281396.3 uncharacterized protein LOC100262175 isoform X1 [Vitis vinifera],20.326,26.392
XP_059591893.1,False,60.18,0.3883,False,defense_signaling,75.864,0.5485,False,defense_signaling,86.188,0.6531,False,defense_signaling,XP_059591893.1 autophagy-related protein 2 isoform X3 [Vitis vinifera],15.684,26.008
XP_059591894.1,False,60.18,0.3883,False,defense_signaling,75.94,0.5491,False,defense_signaling,86.139,0.6522,False,defense_signaling,XP_059591894.1 autophagy-related protein 2 isoform X4 [Vitis vinifera],15.76,25.959
XP_059591892.1,False,60.18,0.3883,False,defense_signaling,75.783,0.5473,False,defense_signaling,85.991,0.6505,False,defense_signaling,XP_059591892.1 autophagy-related protein 2 isoform X2 [Vitis vinifera],15.603,25.811
XP_059591891.1,False,60.18,0.3883,False,defense_signaling,76.164,0.5507,False,defense_signaling,85.913,0.6499,False,defense_signaling,XP_059591891.1 autophagy-related protein 2 isoform X1 [Vitis vinifera],15.984,25.733
XP_010648588.1,False,68.579,0.4787,False,defense_signaling,84.84,0.6407,False,defense_signaling,94.195,0.7463,False,defense_signaling,XP_010648588.1 uncharacterized protein LOC100262933 isoform X1 [Vitis vinifera],16.261,25.616
XP_059591896.1,False,60.18,0.3883,False,defense_signaling,69.332,0.4841,False,defense_signaling,85.418,0.6459,False,defense_signaling,XP_059591896.1 autophagy-related protein 2 isoform X6 [Vitis vinifera],9.152,25.238
XP_010663301.1,False,56.855,0.3489,False,defense_signaling,78.167,0.5708,False,defense_signaling,82.05,0.61,False,defense_signaling,XP_010663301.1 uncharacterized protein LOC100262175 isoform X2 [Vitis vinifera],21.312,25.195
XP_019081651.2,False,50.097,0.2688,False,defense_signaling,65.366,0.3439,False,defense_signaling,75.24,0.478,False,NBS_LRR,XP_019081651.2 protein SPA1-RELATED 2 isoform X1 [Vitis vinifera],15.269,25.143
XP_059598325.1,False,50.097,0.2688,False,defense_signaling,65.366,0.3439,False,defense_signaling,75.24,0.478,False,NBS_LRR,XP_059598325.1 protein SPA1-RELATED 2 isoform X1 [Vitis vinifera],15.269,25.143
XP_059598327.1,False,50.097,0.2688,False,defense_signaling,65.366,0.3439,False,defense_signaling,75.24,0.478,False,NBS_LRR,XP_059598327.1 protein SPA1-RELATED 2 isoform X1 [Vitis vinifera],15.269,25.143
XP_059598320.1,False,50.097,0.2688,False,defense_signaling,65.366,0.3439,False,defense_signaling,75.24,0.478,False,NBS_LRR,XP_059598320.1 protein SPA1-RELATED 2 isoform X1 [Vitis vinifera],15.269,25.143
XP_059598322.1,False,50.097,0.2688,False,defense_signaling,65.366,0.3439,False,defense_signaling,75.24,0.478,False,NBS_LRR,XP_059598322.1 protein SPA1-RELATED 2 isoform X1 [Vitis vinifera],15.269,25.143
XP_059598333.1,False,50.097,0.2688,False,defense_signaling,65.366,0.3439,False,defense_signaling,75.24,0.478,False,NBS_LRR,XP_059598333.1 protein SPA1-RELATED 2 isoform X1 [Vitis vinifera],15.269,25.143
XP_010661962.1,False,67.649,0.4692,False,defense_signaling,90.576,0.7006,False,defense_signaling,92.73,0.7264,False,defense_signaling,XP_010661962.1 uncharacterized protein LOC100255258 isoform X3 [Vitis vinifera],22.927,25.081
XP_010646588.1,False,37.947,0.0927,False,defense_signaling,64.605,0.4347,False,defense_signaling,62.752,0.3682,False,defense_signaling,XP_010646588.1 uncharacterized protein LOC100241915 [Vitis vinifera],26.658,24.805
XP_059595321.1,False,37.947,0.0927,False,defense_signaling,64.605,0.4347,False,defense_signaling,62.752,0.3682,False,defense_signaling,XP_059595321.1 uncharacterized protein LOC100241915 [Vitis vinifera],26.658,24.805
XP_059591897.1,False,60.18,0.3883,False,defense_signaling,68.845,0.479,False,defense_signaling,84.744,0.6388,False,defense_signaling,XP_059591897.1 autophagy-related protein 2 isoform X7 [Vitis vinifera],8.665,24.564
XP_059595937.1,False,68.003,0.4861,False,antimicrobial,86.282,0.8214,False,cell_death_HR,92.454,0.9226,False,cell_death_HR,XP_059595937.1 protein MOR1 isoform X3 [Vitis vinifera],18.279,24.451
XP_019081152.2,False,68.594,0.4788,False,defense_signaling,91.083,0.706,False,defense_signaling,92.789,0.7272,False,defense_signaling,XP_019081152.2 uncharacterized protein LOC100255258 isoform X4 [Vitis vinifera],22.489,24.195
XP_010661961.2,False,68.594,0.4788,False,defense_signaling,90.712,0.7019,False,defense_signaling,92.789,0.7272,False,defense_signaling,XP_010661961.2 uncharacterized protein LOC100255258 isoform X2 [Vitis vinifera],22.118,24.195
XP_002264136.4,False,68.594,0.4788,False,defense_signaling,92.422,0.7226,False,defense_signaling,92.789,0.7272,False,defense_signaling,XP_002264136.4 uncharacterized protein LOC100255258 isoform X1 [Vitis vinifera],23.828,24.195
XP_002279535.1,False,59.943,0.3579,False,cell_death_HR,73.932,0.6028,False,cell_death_HR,84.047,0.7863,False,cell_death_HR,XP_002279535.1 zinc finger protein BRUTUS [Vitis vinifera],13.989,24.104
XP_010648304.1,False,62.953,0.4185,False,defense_signaling,85.147,0.6438,False,defense_signaling,86.979,0.6621,False,defense_signaling,XP_010648304.1 calcineurin-binding protein 1 isoform X2 [Vitis vinifera],22.194,24.026
XP_019075468.1,False,73.821,0.6006,False,cell_death_HR,98.851,0.8439,False,defense_signaling,97.783,0.8081,False,defense_signaling,XP_019075468.1 uncharacterized protein LOC100258011 [Vitis vinifera],25.03,23.962
XP_059598952.1,False,46.69,0.2286,False,defense_signaling,60.666,0.3902,False,defense_signaling,70.221,0.4925,False,defense_signaling,XP_059598952.1 uncharacterized protein LOC100245070 [Vitis vinifera],13.976,23.531
XP_059590402.1,False,45.912,0.062,False,NBS_LRR,58.259,0.2359,False,NBS_LRR,68.704,0.3815,False,NBS_LRR,XP_059590402.1 disease resistance protein RUN1 isoform X1 [Vitis vinifera],12.347,22.792
XP_059590387.1,False,45.912,0.062,False,NBS_LRR,58.259,0.2359,False,NBS_LRR,68.704,0.3815,False,NBS_LRR,XP_059590387.1 disease resistance protein RUN1 isoform X1 [Vitis vinifera],12.347,22.792
