protein_id,is_curated_GO,pctl_truncated,z_truncated,moderate_truncated,category_truncated,pctl_windowed_mean,z_windowed_mean,moderate_windowed_mean,category_windowed_mean,pctl_windowed_max,z_windowed_max,moderate_windowed_max,category_windowed_max,description,pctl_delta_mean,pctl_delta_max
NP_001184958.1,False,59.334,0.3976,False,defense_signaling,74.132,0.5583,False,NBS_LRR,87.01,0.8343,False,NBS_LRR,NP_001184958.1 SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein [Arabidopsis thaliana],14.798,27.676
NP_001320184.1,False,59.479,0.3995,False,defense_signaling,74.081,0.5575,False,NBS_LRR,87.01,0.8343,False,NBS_LRR,NP_001320184.1 SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein [Arabidopsis thaliana],14.602,27.531
NP_177039.1,False,29.073,-0.1199,False,defense_signaling,42.971,0.1735,False,defense_signaling,56.498,0.3591,False,defense_signaling,NP_177039.1 tRNA arginine adenosine deaminase [Arabidopsis thaliana],13.898,27.425
NP_176309.2,False,59.07,0.3943,False,defense_signaling,74.524,0.5656,False,defense_signaling,86.233,0.8313,False,cell_death_HR,NP_176309.2 SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein [Arabidopsis thaliana],15.454,27.163
NP_565811.2,False,67.567,0.5548,False,antimicrobial,89.201,0.981,False,antimicrobial,94.581,1.0223,False,antimicrobial,NP_565811.2 ARM repeat superfamily protein [Arabidopsis thaliana],21.634,27.014
NP_001190338.1,False,62.759,0.4744,False,cell_death_HR,79.58,0.7697,False,cell_death_HR,89.642,0.9849,False,cell_death_HR,NP_001190338.1 Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein [Arabidopsis thaliana],16.821,26.883
NP_001189965.1,False,29.809,-0.1002,False,defense_signaling,43.124,0.1756,False,defense_signaling,56.672,0.3612,False,defense_signaling,"NP_001189965.1 Helicase/SANT-associated, DNA binding protein [Arabidopsis thaliana]",13.315,26.863
NP_850117.1,True,71.594,0.5341,False,defense_signaling,51.186,0.291,False,defense_signaling,98.111,0.9168,False,defense_signaling,NP_850117.1 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana],-20.408,26.517
NP_850116.1,True,71.594,0.5341,False,defense_signaling,50.841,0.2871,False,defense_signaling,98.111,0.9168,False,defense_signaling,NP_850116.1 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana],-20.753,26.517
NP_001077971.1,True,71.594,0.5341,False,defense_signaling,51.709,0.2976,False,defense_signaling,98.111,0.9168,False,defense_signaling,NP_001077971.1 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana],-19.885,26.517
NP_001325347.1,True,71.594,0.5341,False,defense_signaling,51.709,0.2976,False,defense_signaling,98.111,0.9168,False,defense_signaling,NP_001325347.1 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana],-19.885,26.517
NP_001326789.1,False,59.821,0.4233,False,cell_death_HR,71.855,0.6317,False,cell_death_HR,86.147,0.9013,False,cell_death_HR,NP_001326789.1 RIBOSOMAL RNA PROCESSING 5 [Arabidopsis thaliana],12.034,26.326
NP_564445.1,False,18.244,-0.5021,False,defense_signaling,31.52,-0.0568,False,defense_signaling,44.46,0.1962,False,defense_signaling,NP_564445.1 forkhead-associated (FHA) domain-containing protein [Arabidopsis thaliana],13.276,26.216
NP_182327.6,False,70.361,0.5209,False,defense_signaling,91.593,0.7826,False,defense_signaling,96.351,0.8728,False,defense_signaling,NP_182327.6 piezo-type mechanosensitive ion channel component [Arabidopsis thaliana],21.232,25.99
NP_001325149.1,False,68.851,0.5788,False,antimicrobial,90.462,1.0088,False,antimicrobial,94.581,1.0223,False,antimicrobial,NP_001325149.1 ARM repeat superfamily protein [Arabidopsis thaliana],21.611,25.73
NP_001318342.1,False,19.649,-0.5544,False,NBS_LRR,33.288,-0.1355,False,NBS_LRR,45.049,0.0905,False,NBS_LRR,NP_001318342.1 RNA-binding (RRM/RBD/RNP motifs) family protein [Arabidopsis thaliana],13.639,25.4
NP_001324902.1,False,66.716,0.4799,False,defense_signaling,83.596,0.6709,False,defense_signaling,92.076,0.7903,False,defense_signaling,NP_001324902.1 zinc finger FYVE domain protein [Arabidopsis thaliana],16.88,25.36
NP_001329594.1,False,37.472,0.0754,False,defense_signaling,50.74,0.2859,False,defense_signaling,62.747,0.4337,False,defense_signaling,NP_001329594.1 nucleoporin [Arabidopsis thaliana],13.268,25.275
