protein_id,pid,z_max,best_category,has_defense_keyword,description,score_jackhmmer,length,truncated_by_esm,low_complexity_frac,repeat_frac_k6
NP_001325685.1,NP_001325685,1.7867248,NBS_LRR,False,NP_001325685.1 F-box family protein [Arabidopsis thaliana],19.333866119384766,619,False,0.15,0.0
NP_200493.2,NP_200493,1.7865434,NBS_LRR,False,NP_200493.2 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],81.30366516113281,435,False,0.2143,0.0
NP_191447.1,NP_191447,1.782847,NBS_LRR,False,NP_191447.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],37.938961029052734,454,False,0.1591,0.0
NP_177186.2,NP_177186,1.7820482,cell_death_HR,False,NP_177186.2 trehalose-6-phosphatase synthase S8 [Arabidopsis thaliana],0.0,856,False,0.1429,0.0
NP_175674.3,NP_175674,1.7793291,NBS_LRR,False,NP_175674.3 F-box/RNI superfamily protein [Arabidopsis thaliana],18.691259384155273,465,False,0.0667,0.0
NP_680364.1,NP_680364,1.7784396,NBS_LRR,False,NP_680364.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],31.070524215698242,462,False,0.2889,0.0
NP_175548.4,NP_175548,1.7775995,NBS_LRR,False,NP_175548.4 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],24.335678100585938,435,False,0.0714,0.0
NP_173799.1,NP_173799,1.7764758,cell_death_HR,False,NP_173799.1 trehalose-phosphatase/synthase 9 [Arabidopsis thaliana],0.0,867,False,0.1765,0.0
NP_191474.3,NP_191474,1.7744541,NBS_LRR,False,NP_191474.3 F-box/RNI superfamily protein [Arabidopsis thaliana],0.0,475,False,0.1522,0.0
NP_172833.2,NP_172833,1.7713807,NBS_LRR,False,NP_172833.2 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],23.680574417114258,456,False,0.25,0.0
NP_001189735.1,NP_001189735,1.7696315,NBS_LRR,True,NP_001189735.1 F-box/FBD/LRR protein [Arabidopsis thaliana],0.0,457,False,0.1364,0.0
NP_568800.1,NP_568800,1.7686636,NBS_LRR,False,NP_568800.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,444,False,0.2558,0.0
NP_196356.1,NP_196356,1.7636644,cell_death_HR,True,NP_196356.1 respiratory burst oxidase homolog A [Arabidopsis thaliana],0.0,902,False,0.2022,0.0
NP_200449.2,NP_200449,1.7617943,NBS_LRR,False,NP_200449.2 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],22.911840438842773,439,False,0.2381,0.0
NP_001332756.1,NP_001332756,1.7617943,NBS_LRR,False,NP_001332756.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],22.911840438842773,439,False,0.2381,0.0
NP_001185196.1,NP_001185196,1.7612253,NBS_LRR,False,NP_001185196.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],24.47742462158203,413,False,0.05,0.0
NP_001154655.1,NP_001154655,1.7530543,cell_death_HR,False,NP_001154655.1 alpha/beta-Hydrolases superfamily protein [Arabidopsis thaliana],0.0,377,False,0.3056,0.0
NP_001078614.1,NP_001078614,1.7527163,NBS_LRR,False,"NP_001078614.1 FBD, F-box, Skp2-like and Leucine Rich Repeat domains containing protein [Arabidopsis thaliana]",0.0,450,False,0.3182,0.0
NP_001322705.1,NP_001322705,1.752587,cell_death_HR,False,NP_001322705.1 trehalose phosphate synthase [Arabidopsis thaliana],0.0,861,False,0.0941,0.0
NP_176221.1,NP_176221,1.752587,cell_death_HR,False,NP_176221.1 trehalose phosphate synthase [Arabidopsis thaliana],0.0,861,False,0.0941,0.0
NP_001322706.1,NP_001322706,1.752587,cell_death_HR,False,NP_001322706.1 trehalose phosphate synthase [Arabidopsis thaliana],0.0,861,False,0.0941,0.0
NP_001322703.1,NP_001322703,1.752587,cell_death_HR,False,NP_001322703.1 trehalose phosphate synthase [Arabidopsis thaliana],0.0,861,False,0.0941,0.0
NP_001322702.1,NP_001322702,1.752587,cell_death_HR,False,NP_001322702.1 trehalose phosphate synthase [Arabidopsis thaliana],0.0,861,False,0.0941,0.0
NP_189992.1,NP_189992,1.7472513,NBS_LRR,False,NP_189992.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,427,False,0.1951,0.0
NP_197379.1,NP_197379,1.7463554,NBS_LRR,False,NP_197379.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,441,False,0.2093,0.0
NP_001190332.1,NP_001190332,1.7463554,NBS_LRR,False,NP_001190332.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,441,False,0.2093,0.0
NP_001190683.1,NP_001190683,1.74193,NBS_LRR,False,NP_001190683.1 RNI-like superfamily protein [Arabidopsis thaliana],22.713306427001953,309,False,0.1724,0.0
NP_850834.1,NP_850834,1.7375174,cell_death_HR,False,NP_850834.1 Target of Myb protein 1 [Arabidopsis thaliana],0.0,297,False,0.2143,0.0
NP_001330423.1,NP_001330423,1.7367036,NBS_LRR,False,NP_001330423.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,435,False,0.2857,0.0
NP_199311.1,NP_199311,1.736702,NBS_LRR,False,NP_199311.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,435,False,0.2857,0.0
NP_189994.1,NP_189994,1.7357849,NBS_LRR,False,NP_189994.1 F-box family protein [Arabidopsis thaliana],0.0,387,False,0.1351,0.0
NP_001320535.1,NP_001320535,1.735399,cell_death_HR,False,NP_001320535.1 DA1 [Arabidopsis thaliana],0.0,532,False,0.2692,0.0
NP_173361.1,NP_173361,1.735399,cell_death_HR,False,NP_173361.1 DA1 [Arabidopsis thaliana],0.0,532,False,0.2692,0.0
NP_001318622.1,NP_001318622,1.7341762,NBS_LRR,True,NP_001318622.1 F-box/FBD/LRR protein [Arabidopsis thaliana],0.0,468,False,0.1778,0.0
NP_177997.1,NP_177997,1.7338591,NBS_LRR,False,NP_177997.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,452,False,0.2727,0.0
NP_001318935.1,NP_001318935,1.7337332,NBS_LRR,False,NP_001318935.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],75.88835144042969,403,False,0.2821,0.0
NP_001321698.1,NP_001321698,1.7337332,NBS_LRR,False,NP_001321698.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],75.88835144042969,403,False,0.2821,0.0
NP_001154312.1,NP_001154312,1.7337332,NBS_LRR,False,NP_001154312.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],75.88835144042969,403,False,0.2821,0.0
NP_001321700.1,NP_001321700,1.7337332,NBS_LRR,False,NP_001321700.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],75.88835144042969,403,False,0.2821,0.0
NP_567169.2,NP_567169,1.7332411,NBS_LRR,False,NP_567169.2 F-box/RNI-like superfamily protein [Arabidopsis thaliana],17.35028076171875,507,False,0.102,0.0
NP_180554.2,NP_180554,1.7320559,NBS_LRR,False,NP_180554.2 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,459,False,0.2045,0.0
NP_973563.1,NP_973563,1.7320542,NBS_LRR,False,NP_973563.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,459,False,0.2045,0.0
NP_001318621.1,NP_001318621,1.7317829,NBS_LRR,True,NP_001318621.1 LOW protein: F-box/FBD/LRR-like protein [Arabidopsis thaliana],0.0,437,False,0.3571,0.0
NP_001332573.1,NP_001332573,1.7317829,NBS_LRR,True,NP_001332573.1 LOW protein: F-box/FBD/LRR-like protein [Arabidopsis thaliana],0.0,437,False,0.3571,0.0
NP_001332574.1,NP_001332574,1.7317829,NBS_LRR,True,NP_001332574.1 LOW protein: F-box/FBD/LRR-like protein [Arabidopsis thaliana],0.0,437,False,0.3571,0.0
NP_001332571.1,NP_001332571,1.7317829,NBS_LRR,True,NP_001332571.1 LOW protein: F-box/FBD/LRR-like protein [Arabidopsis thaliana],0.0,437,False,0.3571,0.0
NP_200468.1,NP_200468,1.7284741,NBS_LRR,True,NP_200468.1 Leucine-rich repeat (LRR) family protein [Arabidopsis thaliana],38.12361526489258,439,False,0.1667,0.0
NP_001321696.1,NP_001321696,1.7266562,NBS_LRR,False,NP_001321696.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],76.52182006835938,356,False,0.3235,0.0
NP_001321697.1,NP_001321697,1.7266562,NBS_LRR,False,NP_001321697.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],76.52182006835938,356,False,0.3235,0.0
NP_001319715.1,NP_001319715,1.7265009,NBS_LRR,True,NP_001319715.1 F-box/FBD/LRR protein [Arabidopsis thaliana],0.0,467,False,0.0889,0.0043
NP_199309.2,NP_199309,1.724593,NBS_LRR,False,NP_199309.2 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,416,False,0.2,0.0
NP_001321870.1,NP_001321870,1.7231987,NBS_LRR,False,NP_001321870.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,410,False,0.075,0.0
NP_680353.2,NP_680353,1.7216113,NBS_LRR,False,NP_680353.2 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,455,False,0.1591,0.0
NP_001031971.1,NP_001031971,1.7216096,NBS_LRR,False,NP_001031971.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,455,False,0.1591,0.0
NP_191483.1,NP_191483,1.719437,NBS_LRR,False,NP_191483.1 RNI-like superfamily protein [Arabidopsis thaliana],25.991811752319336,504,False,0.1429,0.004
NP_191455.1,NP_191455,1.7190871,NBS_LRR,False,NP_191455.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,475,False,0.2826,0.0
NP_001330477.1,NP_001330477,1.7168148,NBS_LRR,False,NP_001330477.1 RNI-like superfamily protein [Arabidopsis thaliana],0.0,514,False,0.1,0.0
NP_197958.1,NP_197958,1.7137724,NBS_LRR,False,NP_197958.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,448,False,0.1628,0.0
NP_001322704.1,NP_001322704,1.7132596,cell_death_HR,False,NP_001322704.1 trehalose phosphate synthase [Arabidopsis thaliana],0.0,764,False,0.0933,0.0
NP_001321695.1,NP_001321695,1.7130351,NBS_LRR,False,NP_001321695.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],75.80027770996094,412,False,0.225,0.0
NP_001321699.1,NP_001321699,1.7129028,NBS_LRR,False,NP_001321699.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],76.78968811035156,304,False,0.3448,0.0
NP_191454.1,NP_191454,1.7126052,NBS_LRR,False,NP_191454.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,417,False,0.025,0.0
NP_001320954.1,NP_001320954,1.7119676,NBS_LRR,False,NP_001320954.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,487,False,0.1702,0.0207
NP_191445.1,NP_191445,1.7104751,NBS_LRR,False,NP_191445.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],13.204785346984863,457,False,0.25,0.0
NP_186954.1,NP_186954,1.7101612,NBS_LRR,False,NP_186954.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,472,False,0.1739,0.0
NP_197066.1,NP_197066,1.70988,NBS_LRR,False,NP_197066.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,440,False,0.093,0.0
NP_190067.1,NP_190067,1.7097526,NBS_LRR,False,NP_190067.1 F-box family protein [Arabidopsis thaliana],0.0,448,False,0.1628,0.0
NP_001331135.1,NP_001331135,1.7096364,NBS_LRR,False,"NP_001331135.1 FBD, F-box, Skp2-like and Leucine Rich Repeat domains containing protein [Arabidopsis thaliana]",0.0,460,False,0.2222,0.0
NP_001331780.1,NP_001331780,1.7093716,NBS_LRR,False,"NP_001331780.1 FBD, F-box and Leucine Rich Repeat domains containing protein [Arabidopsis thaliana]",43.61013412475586,418,False,0.125,0.0
NP_001320089.1,NP_001320089,1.7076656,cell_death_HR,False,NP_001320089.1 Integral membrane Yip1 family protein [Arabidopsis thaliana],0.0,280,False,0.4815,0.0
NP_567843.1,NP_567843,1.7076656,cell_death_HR,False,NP_567843.1 Integral membrane Yip1 family protein [Arabidopsis thaliana],0.0,280,False,0.4815,0.0
NP_194365.1,NP_194365,1.7068361,NBS_LRR,False,NP_194365.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],16.938312530517578,431,False,0.0476,0.0
NP_173618.1,NP_173618,1.706205,NBS_LRR,False,NP_173618.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,465,False,0.1556,0.0
NP_201197.1,NP_201197,1.7061714,cell_death_HR,False,NP_201197.1 topoisomerase 3alpha [Arabidopsis thaliana],0.0,926,False,0.1209,0.0
NP_176635.1,NP_176635,1.7060382,NBS_LRR,False,NP_176635.1 F-box/FBD-like domains containing protein [Arabidopsis thaliana],0.0,444,False,0.2326,0.0
NP_001319320.1,NP_001319320,1.7060382,NBS_LRR,False,NP_001319320.1 F-box/FBD-like domains containing protein [Arabidopsis thaliana],0.0,444,False,0.2326,0.0
NP_191803.1,NP_191803,1.7030041,NBS_LRR,False,NP_191803.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],18.377166748046875,457,False,0.0909,0.0
NP_565442.1,NP_565442,1.7014182,cell_death_HR,False,NP_565442.1 Integral membrane Yip1 family protein [Arabidopsis thaliana],0.0,281,False,0.5185,0.0145
NP_001319875.1,NP_001319875,1.7005863,NBS_LRR,False,NP_001319875.1 RNI-like superfamily protein [Arabidopsis thaliana],25.849872589111328,306,False,0.1379,0.0
NP_200492.1,NP_200492,1.699862,NBS_LRR,False,NP_200492.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],30.57895851135254,435,False,0.2143,0.0
NP_001331014.1,NP_001331014,1.6958274,NBS_LRR,False,NP_001331014.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,403,False,0.1795,0.0
NP_680363.1,NP_680363,1.6958274,NBS_LRR,False,NP_680363.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,403,False,0.1795,0.0
NP_191475.1,NP_191475,1.6949921,NBS_LRR,False,NP_191475.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,464,False,0.2889,0.0
NP_176244.1,NP_176244,1.6945523,NBS_LRR,False,NP_176244.1 F-box family protein [Arabidopsis thaliana],0.0,406,False,0.2821,0.0
NP_200480.1,NP_200480,1.6945163,NBS_LRR,False,"NP_200480.1 FBD, F-box and Leucine Rich Repeat domains containing protein [Arabidopsis thaliana]",32.014610290527344,402,False,0.3077,0.0
NP_176806.1,NP_176806,1.6923012,NBS_LRR,False,NP_176806.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,457,False,0.2955,0.0
NP_198638.2,NP_198638,1.6911002,cell_death_HR,False,NP_198638.2 alpha/beta-Hydrolases superfamily protein [Arabidopsis thaliana],0.0,336,False,0.2812,0.0
NP_001031978.1,NP_001031978,1.6910987,cell_death_HR,False,NP_001031978.1 alpha/beta-Hydrolases superfamily protein [Arabidopsis thaliana],0.0,336,False,0.2812,0.0
NP_177994.2,NP_177994,1.6906631,NBS_LRR,False,"NP_177994.2 FBD, F-box, Skp2-like and Leucine Rich Repeat domains containing protein [Arabidopsis thaliana]",0.0,420,False,0.1951,0.0
NP_192843.2,NP_192843,1.6888255,PR_proteins,False,NP_192843.2 glycosyl hydrolase 9C3 [Arabidopsis thaliana],0.0,626,False,0.2459,0.0
NP_001321463.1,NP_001321463,1.6876453,NBS_LRR,False,NP_001321463.1 RNI-like superfamily protein [Arabidopsis thaliana],65.26256561279297,432,False,0.2619,0.0
NP_179117.1,NP_179117,1.6874593,PR_proteins,False,NP_179117.1 Plant basic secretory protein (BSP) family protein [Arabidopsis thaliana],0.0,225,False,0.1905,0.0
NP_001331552.1,NP_001331552,1.687337,cell_death_HR,False,NP_001331552.1 vesicle-associated membrane protein 713 [Arabidopsis thaliana],0.0,226,False,0.1905,0.0
NP_172129.1,NP_172129,1.6867222,cell_death_HR,False,NP_172129.1 trehalose-phosphatase/synthase 7 [Arabidopsis thaliana],0.0,851,False,0.1071,0.0
NP_001321475.1,NP_001321475,1.6867222,cell_death_HR,False,NP_001321475.1 trehalose-phosphatase/synthase 7 [Arabidopsis thaliana],0.0,851,False,0.1071,0.0
NP_001321476.1,NP_001321476,1.6867222,cell_death_HR,False,NP_001321476.1 trehalose-phosphatase/synthase 7 [Arabidopsis thaliana],0.0,851,False,0.1071,0.0
NP_176805.1,NP_176805,1.6862999,NBS_LRR,False,NP_176805.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,442,False,0.3023,0.0
NP_001330483.1,NP_001330483,1.6850528,cell_death_HR,False,NP_001330483.1 haloacid dehalogenase-like hydrolase family protein [Arabidopsis thaliana],0.0,523,False,0.2157,0.0
NP_566451.1,NP_566451,1.6845915,cell_death_HR,False,NP_566451.1 ubiquitin family protein [Arabidopsis thaliana],0.0,414,False,0.2,0.0
NP_001189877.1,NP_001189877,1.6845915,cell_death_HR,False,NP_001189877.1 ubiquitin family protein [Arabidopsis thaliana],0.0,414,False,0.2,0.0
NP_001328091.1,NP_001328091,1.6843787,PR_proteins,False,NP_001328091.1 glycosyl hydrolase 9C3 [Arabidopsis thaliana],0.0,625,False,0.2459,0.0
NP_567620.1,NP_567620,1.6830958,cell_death_HR,False,NP_567620.1 Calcium-dependent ARF-type GTPase activating protein family [Arabidopsis thaliana],0.0,337,False,0.1875,0.0
NP_849416.1,NP_849416,1.6830958,cell_death_HR,False,NP_849416.1 Calcium-dependent ARF-type GTPase activating protein family [Arabidopsis thaliana],0.0,337,False,0.1875,0.0
NP_974581.1,NP_974581,1.6830958,cell_death_HR,False,NP_974581.1 Calcium-dependent ARF-type GTPase activating protein family [Arabidopsis thaliana],0.0,337,False,0.1875,0.0
NP_974582.1,NP_974582,1.6830958,cell_death_HR,False,NP_974582.1 Calcium-dependent ARF-type GTPase activating protein family [Arabidopsis thaliana],0.0,337,False,0.1875,0.0
NP_001189876.1,NP_001189876,1.6828544,cell_death_HR,False,NP_001189876.1 ubiquitin family protein [Arabidopsis thaliana],0.0,413,False,0.2,0.0
NP_176804.1,NP_176804,1.6823306,NBS_LRR,False,NP_176804.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,456,False,0.1591,0.0
NP_200059.2,NP_200059,1.680722,NBS_LRR,False,"NP_200059.2 FBD, F-box and Leucine Rich Repeat domains containing protein [Arabidopsis thaliana]",18.511384963989258,369,False,0.2857,0.0
NP_001319042.1,NP_001319042,1.6799829,cell_death_HR,False,NP_001319042.1 Riboflavin synthase-like superfamily protein [Arabidopsis thaliana],0.0,952,False,0.2872,0.0
NP_198127.1,NP_198127,1.6799111,NBS_LRR,False,NP_198127.1 F-box/FBD-like domains containing protein [Arabidopsis thaliana],0.0,459,False,0.2045,0.0
NP_173137.1,NP_173137,1.6799046,NBS_LRR,False,NP_173137.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,449,False,0.1395,0.0
NP_001322751.1,NP_001322751,1.6799046,NBS_LRR,False,NP_001322751.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,449,False,0.1395,0.0
NP_001322750.1,NP_001322750,1.6799046,NBS_LRR,False,NP_001322750.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,449,False,0.1395,0.0
NP_190721.3,NP_190721,1.6782354,NBS_LRR,False,NP_190721.3 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],59.26322555541992,455,False,0.2045,0.0
NP_567296.1,NP_567296,1.6778758,NBS_LRR,False,NP_567296.1 RNI-like superfamily protein [Arabidopsis thaliana],33.0660285949707,307,False,0.3793,0.0
NP_197957.1,NP_197957,1.6776813,NBS_LRR,False,NP_197957.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,481,False,0.2128,0.0
NP_176621.1,NP_176621,1.6774212,PR_proteins,False,NP_176621.1 glycosyl hydrolase 9C2 [Arabidopsis thaliana],0.0,620,False,0.1967,0.0
NP_199310.1,NP_199310,1.6767626,NBS_LRR,False,NP_199310.1 Protein with RNI-like/FBD-like domain [Arabidopsis thaliana],0.0,389,False,0.2973,0.0
NP_200455.1,NP_200455,1.6765418,NBS_LRR,False,NP_200455.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,430,False,0.1429,0.0
NP_173357.1,NP_173357,1.6764288,cell_death_HR,False,NP_173357.1 Riboflavin synthase-like superfamily protein [Arabidopsis thaliana],0.0,926,False,0.3297,0.0
NP_199308.1,NP_199308,1.6758994,NBS_LRR,False,NP_199308.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,438,False,0.1429,0.0
NP_001190131.1,NP_001190131,1.6757506,NBS_LRR,False,NP_001190131.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],23.436397552490234,465,False,0.1111,0.0
NP_191451.1,NP_191451,1.6752536,NBS_LRR,False,NP_191451.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],0.0,470,False,0.1739,0.0
NP_001321161.1,NP_001321161,1.6739892,cell_death_HR,False,NP_001321161.1 RAD3-like DNA-binding helicase protein [Arabidopsis thaliana],0.0,807,False,0.1519,0.0
NP_001321160.1,NP_001321160,1.6739892,cell_death_HR,False,NP_001321160.1 RAD3-like DNA-binding helicase protein [Arabidopsis thaliana],0.0,807,False,0.1519,0.0
NP_849271.1,NP_849271,1.6734325,NBS_LRR,False,NP_849271.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],43.271278381347656,441,False,0.2326,0.0
NP_189863.1,NP_189863,1.673166,NBS_LRR,False,NP_189863.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,532,False,0.2692,0.019
NP_001328044.1,NP_001328044,1.6708286,cell_death_HR,False,NP_001328044.1 ARF-GAP domain 13 [Arabidopsis thaliana],0.0,336,False,0.1875,0.0
NP_567292.1,NP_567292,1.6708286,cell_death_HR,False,NP_567292.1 ARF-GAP domain 13 [Arabidopsis thaliana],0.0,336,False,0.1875,0.0
NP_001323594.1,NP_001323594,1.670176,NBS_LRR,False,NP_001323594.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,447,False,0.2791,0.0
NP_187988.1,NP_187988,1.6701103,PR_proteins,False,NP_187988.1 beta galactosidase 1 [Arabidopsis thaliana],0.0,847,False,0.0843,0.0
NP_176035.1,NP_176035,1.669952,NBS_LRR,False,NP_176035.1 F-box family protein [Arabidopsis thaliana],0.0,479,False,0.1739,0.0
NP_001332575.1,NP_001332575,1.6699291,NBS_LRR,True,NP_001332575.1 LOW protein: F-box/FBD/LRR-like protein [Arabidopsis thaliana],0.0,474,False,0.3261,0.0
NP_974001.1,NP_974001,1.6694288,NBS_LRR,False,NP_974001.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],19.7077579498291,346,False,0.0606,0.0
NP_001328197.1,NP_001328197,1.6692866,NBS_LRR,False,NP_001328197.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],19.46322250366211,464,False,0.0667,0.0
NP_001319927.1,NP_001319927,1.6692866,NBS_LRR,False,NP_001319927.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],19.46322250366211,464,False,0.0667,0.0
NP_180173.1,NP_180173,1.6675195,NBS_LRR,False,NP_180173.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,442,False,0.3023,0.0
NP_001031420.1,NP_001031420,1.6675195,NBS_LRR,False,NP_001031420.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,442,False,0.3023,0.0
NP_001318739.1,NP_001318739,1.667199,NBS_LRR,False,"NP_001318739.1 FBD, F-box, Skp2-like and Leucine Rich Repeat domains containing protein [Arabidopsis thaliana]",0.0,481,False,0.2128,0.0
NP_197659.1,NP_197659,1.6670388,NBS_LRR,False,NP_197659.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],0.0,443,False,0.3256,0.0
NP_001032096.1,NP_001032096,1.6666703,cell_death_HR,False,"NP_001032096.1 Selenoprotein, Rdx type [Arabidopsis thaliana]",0.0,227,False,0.3333,0.0
NP_001190678.1,NP_001190678,1.666658,cell_death_HR,False,NP_001190678.1 NAD(P)H dehydrogenase B2 [Arabidopsis thaliana],0.0,619,False,0.1833,0.0
NP_001189903.1,NP_001189903,1.6664151,cell_death_HR,False,NP_001189903.1 alpha/beta-Hydrolases superfamily protein [Arabidopsis thaliana],0.0,274,False,0.3462,0.0
NP_191482.1,NP_191482,1.6645948,NBS_LRR,False,NP_191482.1 RNI-like superfamily protein [Arabidopsis thaliana],19.98775291442871,491,False,0.1458,0.0
NP_001326425.1,NP_001326425,1.6635486,NBS_LRR,False,"NP_001326425.1 FBD, F-box and Leucine Rich Repeat domains containing protein [Arabidopsis thaliana]",41.746124267578125,482,False,0.3404,0.0042
NP_001190724.1,NP_001190724,1.6635323,NBS_LRR,False,NP_001190724.1 F-box/RNI-like superfamily protein [Arabidopsis thaliana],21.079286575317383,443,False,0.186,0.0
NP_001321199.1,NP_001321199,1.6619741,cell_death_HR,False,NP_001321199.1 trehalose-6-phosphatase synthase S8 [Arabidopsis thaliana],0.0,818,False,0.1625,0.0
