protein_id,z_max,best_category,pctl_max,description
NP_193055.2,1.5410366,RLK_defense,98.75951625282636,NP_193055.2 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_174019.2,1.5385591,RLK_defense,98.7449955400668,NP_174019.2 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001318610.1,1.537997,RLK_defense,98.74188395876118,NP_001318610.1 EF-TU receptor [Arabidopsis thaliana]
NP_197548.1,1.537997,RLK_defense,98.74188395876118,NP_197548.1 EF-TU receptor [Arabidopsis thaliana]
NP_193501.2,1.5362263,RLK_defense,98.7346236023814,NP_193501.2 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_177137.2,1.5355569,RLK_defense,98.73254921484433,NP_177137.2 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_172889.1,1.5343904,RLK_defense,98.72840043977016,NP_172889.1 protein kinase 2A [Arabidopsis thaliana]
NP_196686.1,1.5314006,NBS_LRR,98.28863028190926,NP_196686.1 Disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]
NP_181496.1,1.5259103,RLK_defense,98.68068952641732,NP_181496.1 botrytis-induced kinase1 [Arabidopsis thaliana]
NP_173814.2,1.5253077,RLK_defense,98.67861513888025,NP_173814.2 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_178086.1,1.523467,NBS_LRR,98.43591179704192,NP_178086.1 WALL ASSOCIATED KINASE (WAK)-LIKE 10 [Arabidopsis thaliana]
NP_001329249.1,1.5228627,RLK_defense,98.65579687597236,NP_001329249.1 Concanavalin A-like lectin protein kinase family protein [Arabidopsis thaliana]
NP_001320081.1,1.5218261,RLK_defense,98.6516481008982,NP_001320081.1 Concanavalin A-like lectin protein kinase family protein [Arabidopsis thaliana]
NP_194839.2,1.518192,RLK_defense,98.63920177567572,NP_194839.2 wall-associated kinase [Arabidopsis thaliana]
NP_001320487.1,1.518015,NBS_LRR,98.60393718754536,NP_001320487.1 S-locus lectin protein kinase family protein [Arabidopsis thaliana]
NP_850755.1,1.5171329,RLK_defense,98.63194141929596,NP_850755.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_195849.1,1.5171329,RLK_defense,98.63194141929596,NP_195849.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_180459.2,1.5160265,RLK_defense,98.61845790030492,NP_180459.2 protein kinase 1B [Arabidopsis thaliana]
NP_001031440.1,1.5145156,RLK_defense,98.60808596261954,NP_001031440.1 protein kinase 1B [Arabidopsis thaliana]
NP_173233.1,1.5141046,NBS_LRR,98.47532516024644,NP_173233.1 Wall-associated kinase family protein [Arabidopsis thaliana]
NP_001031439.1,1.5131088,RLK_defense,98.6018628000083,NP_001031439.1 protein kinase 1B [Arabidopsis thaliana]
NP_001320608.1,1.5106183,RLK_defense,98.59563963739706,NP_001320608.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_973778.1,1.5106151,RLK_defense,98.59356524985998,NP_973778.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_172237.1,1.5106134,RLK_defense,98.5914908623229,NP_172237.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001328774.1,1.5080272,RLK_defense,98.57904453710044,NP_001328774.1 S-locus lectin protein kinase family protein [Arabidopsis thaliana]
NP_195952.1,1.5054555,RLK_defense,98.56348663057231,NP_195952.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001330499.1,1.5054555,RLK_defense,98.56348663057231,NP_001330499.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001326011.1,1.501581,RLK_defense,98.53859398012736,NP_001326011.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_974270.1,1.501581,RLK_defense,98.53859398012736,NP_974270.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_187594.1,1.5015761,RLK_defense,98.53548239882176,NP_187594.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001323365.1,1.5001156,RLK_defense,98.53340801128468,NP_001323365.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_199518.1,1.4994658,RLK_defense,98.52718484867344,NP_199518.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_192926.1,1.4980947,RLK_defense,98.52511046113636,NP_192926.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_194052.2,1.4978607,RLK_defense,98.52303607359929,NP_194052.2 cysteine-rich RLK (RECEPTOR-like protein kinase) 13 [Arabidopsis thaliana]
NP_001325073.1,1.4970489,NBS_LRR,98.0314062273114,NP_001325073.1 receptor like protein 21 [Arabidopsis thaliana]
NP_176353.1,1.4968292,RLK_defense,98.51473852345094,NP_176353.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_565408.1,1.4966861,RLK_defense,98.5105897483768,NP_565408.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001326412.1,1.4959892,RLK_defense,98.50436658576557,NP_001326412.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_849382.1,1.4955628,NBS_LRR,98.01584832078328,NP_849382.1 ankyrin repeat family protein [Arabidopsis thaliana]
NP_849381.1,1.4955628,NBS_LRR,98.01584832078328,NP_849381.1 ankyrin repeat family protein [Arabidopsis thaliana]
NP_973478.1,1.4952159,RLK_defense,98.5002178106914,NP_973478.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_191105.2,1.494142,RLK_defense,98.49399464808016,NP_191105.2 PBS1-like 1 [Arabidopsis thaliana]
NP_849362.1,1.494004,RLK_defense,98.49192026054308,NP_849362.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_188224.1,1.4911838,RLK_defense,98.48777148546893,NP_188224.1 lectin protein kinase family protein [Arabidopsis thaliana]
NP_173489.2,1.491135,RLK_defense,98.48569709793183,NP_173489.2 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_194840.3,1.4910815,RLK_defense,98.48362271039476,NP_194840.3 Wall-associated kinase family protein [Arabidopsis thaliana]
NP_180827.1,1.489004,NBS_LRR,97.95672827597652,NP_180827.1 receptor like protein 23 [Arabidopsis thaliana]
NP_001325830.1,1.4873611,NBS_LRR,97.9380587881428,NP_001325830.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_172265.1,1.4869567,RLK_defense,98.46702761009811,NP_172265.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001318944.1,1.4863296,RLK_defense,98.46287883502396,NP_001318944.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001319972.1,1.4781687,NBS_LRR,97.88827348725287,NP_001319972.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_849399.1,1.4781654,NBS_LRR,97.8861990997158,NP_849399.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_177131.1,1.475468,NBS_LRR,98.13719999170245,NP_177131.1 Wall-associated kinase family protein [Arabidopsis thaliana]
NP_190235.1,1.473866,NBS_LRR,97.865455224345,NP_190235.1 plant U-box 13 [Arabidopsis thaliana]
NP_001329883.1,1.4738317,NBS_LRR,97.8623436430394,NP_001329883.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329873.1,1.4738317,NBS_LRR,97.8623436430394,NP_001329873.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_191333.1,1.4721822,NBS_LRR,97.85093451158544,NP_191333.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001329874.1,1.4713745,NBS_LRR,97.84574854274275,NP_001329874.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329877.1,1.4713745,NBS_LRR,97.84574854274275,NP_001329877.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_190662.2,1.4694798,NBS_LRR,97.83226502375176,NP_190662.2 cytochrome BC1 synthesi [Arabidopsis thaliana]
NP_001318308.1,1.4678254,NBS_LRR,97.82189308606634,NP_001318308.1 armadillo/beta-catenin repeat protein [Arabidopsis thaliana]
NP_001318322.1,1.4660243,RLK_defense,98.3882008836891,NP_001318322.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001324945.1,1.4660226,RLK_defense,98.372642977161,NP_001324945.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001324939.1,1.4660226,RLK_defense,98.372642977161,NP_001324939.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001324948.1,1.4660226,RLK_defense,98.372642977161,NP_001324948.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001324949.1,1.4660226,RLK_defense,98.372642977161,NP_001324949.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001324942.1,1.4660226,RLK_defense,98.372642977161,NP_001324942.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001324937.1,1.4660226,RLK_defense,98.372642977161,NP_001324937.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001324938.1,1.4660226,RLK_defense,98.372642977161,NP_001324938.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001324946.1,1.4660226,RLK_defense,98.372642977161,NP_001324946.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001324944.1,1.4660226,RLK_defense,98.372642977161,NP_001324944.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001324947.1,1.4660226,RLK_defense,98.372642977161,NP_001324947.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001324950.1,1.4660226,RLK_defense,98.372642977161,NP_001324950.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001324941.1,1.4660226,RLK_defense,98.372642977161,NP_001324941.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001324943.1,1.4660226,RLK_defense,98.372642977161,NP_001324943.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001324940.1,1.4660226,RLK_defense,98.372642977161,NP_001324940.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_200457.1,1.4659917,RLK_defense,98.3570850706329,NP_200457.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_189138.1,1.4656773,NBS_LRR,97.79700043562138,NP_189138.1 receptor like protein 42 [Arabidopsis thaliana]
NP_001326543.1,1.4651129,RLK_defense,98.35086190802166,NP_001326543.1 lectin protein kinase family protein [Arabidopsis thaliana]
NP_001329247.1,1.4642454,RLK_defense,98.34878752048458,NP_001329247.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 13 [Arabidopsis thaliana]
NP_173372.1,1.4617702,NBS_LRR,98.32804364511378,NP_173372.1 Wall-associated kinase family protein [Arabidopsis thaliana]
NP_176919.2,1.4607795,NBS_LRR,98.08534030327546,NP_176919.2 lectin protein kinase family protein [Arabidopsis thaliana]
NP_001329248.1,1.4578738,RLK_defense,98.33322961395648,NP_001329248.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 13 [Arabidopsis thaliana]
NP_849427.1,1.4578738,RLK_defense,98.33322961395648,NP_849427.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 13 [Arabidopsis thaliana]
NP_177763.1,1.4537328,RLK_defense,98.31352293235425,NP_177763.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001322741.1,1.452452,NBS_LRR,97.77003339763934,NP_001322741.1 receptor like protein 1 [Arabidopsis thaliana]
NP_567430.1,1.4471928,NBS_LRR,97.66631402078536,NP_567430.1 ankyrin repeat family protein [Arabidopsis thaliana]
NP_566298.1,1.4453421,RLK_defense,98.26373763146432,NP_566298.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_188689.1,1.4408599,RLK_defense,98.24299375609353,NP_188689.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_195722.2,1.4391363,RLK_defense,98.23677059348228,NP_195722.2 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001326539.1,1.4350495,NBS_LRR,98.1620926421474,NP_001326539.1 lectin protein kinase family protein [Arabidopsis thaliana]
NP_001030879.1,1.4319336,NBS_LRR,97.52733005580102,NP_001030879.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001030880.1,1.4319321,NBS_LRR,97.52318128072687,NP_001030880.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001319784.1,1.4319321,NBS_LRR,97.52318128072687,NP_001319784.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_191335.1,1.4319321,NBS_LRR,97.52318128072687,NP_191335.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_180197.1,1.4299705,RLK_defense,98.21602671811148,NP_180197.1 root-specific kinase 1 [Arabidopsis thaliana]
NP_193421.3,1.4290057,NBS_LRR,97.49206546767068,NP_193421.3 Leucine-rich repeat (LRR) family protein [Arabidopsis thaliana]
NP_191323.1,1.4287753,NBS_LRR,97.48791669259651,NP_191323.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_201356.2,1.4265898,RLK_defense,98.19113406766652,NP_201356.2 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_189510.2,1.4263152,RLK_defense,98.18905968012945,NP_189510.2 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_190723.1,1.425823,RLK_defense,98.33426680772504,NP_190723.1 Malectin/receptor-like protein kinase family protein [Arabidopsis thaliana]
NP_197926.2,1.4257548,RLK_defense,98.18076212998112,NP_197926.2 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_190813.1,1.420111,NBS_LRR,97.40908996618748,NP_190813.1 plant U-box 22 [Arabidopsis thaliana]
NP_564898.1,1.4195093,NBS_LRR,97.52318128072687,NP_564898.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_190260.1,1.4194272,RLK_defense,98.16624141722156,NP_190260.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_568231.1,1.4174857,RLK_defense,98.15794386707324,NP_568231.1 ROP binding protein kinases 1 [Arabidopsis thaliana]
NP_001329881.1,1.413678,NBS_LRR,97.35308150268634,NP_001329881.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_178651.1,1.4085718,RLK_defense,98.13927437923952,NP_178651.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001326087.1,1.4059765,NBS_LRR,97.29914742672229,NP_001326087.1 receptor like protein 34 [Arabidopsis thaliana]
NP_001329653.1,1.4053586,NBS_LRR,98.80100400356795,NP_001329653.1 protein kinase family protein [Arabidopsis thaliana]
NP_568652.1,1.4051957,cell_death_HR,98.93376480594104,NP_568652.1 ThiF family protein [Arabidopsis thaliana]
NP_196820.1,1.4038216,RLK_defense,98.12682805401704,NP_196820.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_189123.2,1.4027997,RLK_defense,98.1226792789429,NP_189123.2 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_181137.2,1.4027773,NBS_LRR,97.26388283859193,NP_181137.2 plant U-box 23 [Arabidopsis thaliana]
NP_190821.1,1.4013174,NBS_LRR,97.25143651336944,NP_190821.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_180426.1,1.3986328,RLK_defense,98.11853050386873,NP_180426.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_850671.1,1.398584,NBS_LRR,97.22654386292449,NP_850671.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_190457.1,1.398584,NBS_LRR,97.22654386292449,NP_190457.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001327846.1,1.398584,NBS_LRR,97.22654386292449,NP_001327846.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001154651.1,1.3950685,RLK_defense,98.11438172879456,NP_001154651.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_178731.2,1.3946104,RLK_defense,98.1123073412575,NP_178731.2 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001189514.1,1.3946072,RLK_defense,98.1102329537204,NP_001189514.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001077816.1,1.3928983,NBS_LRR,97.14771713651544,NP_001077816.1 toll/interleukin-1 receptor-like protein [Arabidopsis thaliana]
NP_200577.2,1.3927194,cell_death_HR,98.84249175430952,NP_200577.2 diacylglycerol kinase 4 [Arabidopsis thaliana]
NP_176760.2,1.3906374,NBS_LRR,97.13527081129295,NP_176760.2 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_191331.2,1.382859,NBS_LRR,97.08341112286595,NP_191331.2 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001330034.1,1.3802793,NBS_LRR,97.05644408488394,NP_001330034.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001330033.1,1.3802793,NBS_LRR,97.05644408488394,NP_001330033.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001330031.1,1.3802793,NBS_LRR,97.05644408488394,NP_001330031.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001078069.1,1.3769181,cell_death_HR,98.65994565104651,NP_001078069.1 Auxin-responsive GH3 family protein [Arabidopsis thaliana]
NP_567845.4,1.3766291,cell_death_HR,98.65372248843528,NP_567845.4 diacylglycerol kinase 7 [Arabidopsis thaliana]
NP_851131.1,1.3741931,NBS_LRR,96.97554297093784,NP_851131.1 Toll-Interleukin-Resistance (TIR) domain family protein [Arabidopsis thaliana]
NP_566071.1,1.3740665,cell_death_HR,98.62156948161056,NP_566071.1 Auxin-responsive GH3 family protein [Arabidopsis thaliana]
NP_850453.1,1.3740665,cell_death_HR,98.62156948161056,NP_850453.1 Auxin-responsive GH3 family protein [Arabidopsis thaliana]
NP_001330035.1,1.3740263,NBS_LRR,96.97346858340076,NP_001330035.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_176191.1,1.3687415,cell_death_HR,98.56244943680376,NP_176191.1 aminophospholipid ATPase 3 [Arabidopsis thaliana]
NP_197012.1,1.3670498,RLK_defense,98.05837326529344,NP_197012.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_192867.1,1.3643035,cell_death_HR,98.5002178106914,NP_192867.1 1-aminocyclopropane-1-carboxylic acid (acc) synthase 6 [Arabidopsis thaliana]
NP_001330029.1,1.364283,NBS_LRR,96.875972369158,NP_001330029.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_193829.2,1.358365,NBS_LRR,96.8054431928973,NP_193829.2 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]
NP_001154317.1,1.3575444,NBS_LRR,97.70987615906404,NP_001154317.1 receptor like protein 1 [Arabidopsis thaliana]
NP_001190474.1,1.355666,NBS_LRR,96.77743896114671,NP_001190474.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001330032.1,1.355666,NBS_LRR,96.77743896114671,NP_001330032.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_199363.3,1.355666,NBS_LRR,96.77743896114671,NP_199363.3 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001330030.1,1.355666,NBS_LRR,96.77743896114671,NP_001330030.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001030790.3,1.3555447,RLK_defense,98.0397037774597,NP_001030790.3 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001319837.1,1.3546181,NBS_LRR,97.98369531395856,NP_001319837.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_189960.2,1.3521136,RLK_defense,98.03348061484849,NP_189960.2 Leucine-rich repeat (LRR) family protein [Arabidopsis thaliana]
NP_191329.1,1.3514793,NBS_LRR,96.74113717924784,NP_191329.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_187187.1,1.3497252,NBS_LRR,96.98591490862324,NP_187187.1 receptor like protein 30 [Arabidopsis thaliana]
NP_172932.1,1.3494952,cell_death_HR,98.36538262078122,NP_172932.1 RNA-dependent RNA polymerase 1 [Arabidopsis thaliana]
NP_565963.2,1.3486973,cell_death_HR,98.35293629555872,NP_565963.2 phospholipase D beta 1 [Arabidopsis thaliana]
NP_186779.1,1.3467802,RLK_defense,98.01481112701474,NP_186779.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_566402.2,1.343271,NBS_LRR,97.1726097869604,NP_566402.2 E3 ubiquitin-protein ligase PUB24-like protein [Arabidopsis thaliana]
NP_567980.1,1.3390733,RLK_defense,98.00651357686642,NP_567980.1 BR-signaling kinase 1 [Arabidopsis thaliana]
NP_850490.1,1.3347638,cell_death_HR,98.13305121662827,NP_850490.1 carbonic anhydrase 1 [Arabidopsis thaliana]
NP_195506.1,1.3332701,antimicrobial,98.90264899288483,NP_195506.1 serine transhydroxymethyltransferase 1 [Arabidopsis thaliana]
NP_197646.1,1.3326858,NBS_LRR,96.59385566411515,"NP_197646.1 transmembrane protein, putative (DUF247) [Arabidopsis thaliana]"
NP_191703.1,1.3312548,antimicrobial,98.87568195490282,NP_191703.1 cysteine synthase C1 [Arabidopsis thaliana]
NP_196702.1,1.3285072,RLK_defense,97.9795465388844,NP_196702.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_173168.1,1.327591,RLK_defense,97.97539776381024,NP_173168.1 receptor like protein 3 [Arabidopsis thaliana]
NP_001330076.1,1.3266803,antimicrobial,98.81656191009604,NP_001330076.1 Auxin-responsive GH3 family protein [Arabidopsis thaliana]
NP_196836.1,1.3266803,antimicrobial,98.81656191009604,NP_196836.1 Auxin-responsive GH3 family protein [Arabidopsis thaliana]
NP_199088.1,1.3250742,antimicrobial,98.79685522849378,NP_199088.1 Sugar isomerase (SIS) family protein [Arabidopsis thaliana]
NP_001332180.1,1.3250725,antimicrobial,98.7947808409567,NP_001332180.1 Sugar isomerase (SIS) family protein [Arabidopsis thaliana]
NP_192922.1,1.3223766,cell_death_HR,97.95672827597652,NP_192922.1 phospholipase D gamma 1 [Arabidopsis thaliana]
NP_001331343.1,1.322354,NBS_LRR,96.5005082249466,NP_001331343.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_176599.2,1.3213252,cell_death_HR,97.94220756321695,NP_176599.2 cation/H+ exchanger 16 [Arabidopsis thaliana]
NP_192993.2,1.3207453,NBS_LRR,96.49221067479826,NP_192993.2 F-box and associated interaction domains-containing protein [Arabidopsis thaliana]
NP_001078377.1,1.3207437,NBS_LRR,96.48909909349264,NP_001078377.1 F-box and associated interaction domains-containing protein [Arabidopsis thaliana]
NP_001328191.1,1.3207437,NBS_LRR,96.48909909349264,NP_001328191.1 F-box and associated interaction domains-containing protein [Arabidopsis thaliana]
NP_849980.1,1.3190885,cell_death_HR,97.92353807538323,NP_849980.1 diacylglycerol kinase 3 [Arabidopsis thaliana]
NP_001326643.1,1.3186656,RLK_defense,97.94635633829112,NP_001326643.1 Concanavalin A-like lectin protein kinase family protein [Arabidopsis thaliana]
