family,protein_id,z_max,best_category,pctl_max,description
PR proteins,NP_001328598.1,0.8850243,PR_proteins,87.44788101313087,NP_001328598.1 THAUMATIN-LIKE PROTEIN 1 [Arabidopsis thaliana]
PR proteins,NP_001328601.1,0.8557446,PR_proteins,86.07256207604705,NP_001328601.1 THAUMATIN-LIKE PROTEIN 1 [Arabidopsis thaliana]
PR proteins,NP_179064.1,0.7277495,PR_proteins,78.89518119775136,NP_179064.1 basic pathogenesis-related protein 1 [Arabidopsis thaliana]
PR proteins,NP_195098.1,0.34550872,PR_proteins,56.28850581865704,"NP_195098.1 CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [Arabidopsis thaliana]"
RLK (LRR receptor kinase),NP_190342.1,1.5905864,NBS_LRR,98.68691268902856,NP_190342.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_566892.1,1.5892067,NBS_LRR,98.66824320119484,NP_566892.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_179513.4,1.5806497,RLK_defense,98.9897732694422,NP_179513.4 Leucine-rich repeat transmembrane protein kinase protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_175476.2,1.5746177,RLK_defense,98.95450868131184,NP_175476.2 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_195341.2,1.5621672,RLK_defense,98.87153317982865,NP_195341.2 Leucine-rich receptor-like protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001330009.1,1.5537941,RLK_defense,98.81863629763312,NP_001330009.1 Leucine-rich receptor-like protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_199445.1,1.5537941,RLK_defense,98.81863629763312,NP_199445.1 Leucine-rich receptor-like protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_188052.2,1.5515815,RLK_defense,98.80100400356795,NP_188052.2 STRUBBELIG-receptor family 7 [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_190293.1,1.5474803,NBS_LRR,98.42553985935652,NP_190293.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_974312.1,1.5406531,RLK_defense,98.75744186528928,NP_974312.1 STRUBBELIG-receptor family 7 [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001318610.1,1.537997,RLK_defense,98.74188395876118,NP_001318610.1 EF-TU receptor [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_197548.1,1.537997,RLK_defense,98.74188395876118,NP_197548.1 EF-TU receptor [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_177694.1,1.5317035,RLK_defense,98.71802850208476,NP_177694.1 Leucine-rich receptor-like protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_178721.3,1.5306371,NBS_LRR,98.63505300060156,NP_178721.3 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_179220.2,1.5278971,RLK_defense,98.69106146410272,NP_179220.2 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001322311.1,1.5249242,RLK_defense,98.67654075134315,NP_001322311.1 receptor-like kinase in flowers 1 [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_195442.2,1.5101148,RLK_defense,98.58941647478582,NP_195442.2 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001332195.1,1.5083762,NBS_LRR,98.47325077270936,NP_001332195.1 leucine-rich repeat transmembrane protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_172580.2,1.5080206,RLK_defense,98.57697014956334,NP_172580.2 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001321706.1,1.505938,RLK_defense,98.56867259941502,NP_001321706.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_176918.1,1.5055091,RLK_defense,98.56659821187796,NP_176918.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001318747.1,1.4996237,NBS_LRR,98.04800132760802,NP_001318747.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_974311.1,1.4955262,RLK_defense,98.50229219822847,NP_974311.1 STRUBBELIG-receptor family 7 [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001325421.1,1.4951541,RLK_defense,98.8362685916983,NP_001325421.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_200144.1,1.4904999,NBS_LRR,98.28240711929804,NP_200144.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_198389.2,1.4809784,RLK_defense,98.45665567241272,NP_198389.2 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_196345.1,1.4799224,RLK_defense,98.45458128487564,NP_196345.1 Leucine-rich repeat transmembrane protein kinase [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_196564.1,1.4672053,RLK_defense,98.39857282137449,NP_196564.1 Leucine-rich receptor-like protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001321901.1,1.4628239,RLK_defense,98.34463874541042,NP_001321901.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001077512.4,1.4505569,RLK_defense,98.2969278320576,NP_001077512.4 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001326829.1,1.4485685,RLK_defense,98.28759308814072,NP_001326829.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_191342.1,1.4485685,RLK_defense,98.28759308814072,NP_191342.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_201529.1,1.4457303,RLK_defense,98.26996079407554,NP_201529.1 receptor-like kinase [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001331676.1,1.4399356,RLK_defense,98.23884498101935,NP_001331676.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_197569.2,1.4360334,RLK_defense,98.22224988072271,NP_197569.2 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_193747.2,1.4319623,RLK_defense,98.21810110564856,NP_193747.2 Leucine-rich repeat transmembrane protein kinase [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_199283.1,1.4285636,RLK_defense,98.203580392889,NP_199283.1 Leucine-rich repeat transmembrane protein kinase [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_193811.1,1.4283037,RLK_defense,98.20150600535192,NP_193811.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_181196.1,1.4247394,RLK_defense,98.17453896736988,NP_181196.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_179911.1,1.4209818,RLK_defense,98.1724645798328,NP_179911.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001320016.1,1.3981454,RLK_defense,98.11645611633163,NP_001320016.1 Leucine-rich receptor-like protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_190295.1,1.3824258,NBS_LRR,98.07704275312716,NP_190295.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_189874.1,1.3741621,RLK_defense,98.07911714066422,NP_189874.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_193599.3,1.3625942,NBS_LRR,97.7555126848798,NP_193599.3 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_186938.1,1.3395542,RLK_defense,98.00858796440352,NP_186938.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001331675.1,1.3320959,RLK_defense,97.99614163918103,NP_001331675.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001332015.1,1.3260492,RLK_defense,97.97124898873606,NP_001332015.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_197162.1,1.315488,RLK_defense,97.93183562553156,NP_197162.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_178381.3,1.3105754,RLK_defense,97.91316613769784,NP_178381.3 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_200774.2,1.3099482,RLK_defense,97.91109175016076,NP_200774.2 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001326830.1,1.2610394,RLK_defense,97.81566992345508,NP_001326830.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_564528.1,1.2597349,RLK_defense,97.81152114838096,NP_564528.1 receptor-like kinase 1 [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_568971.1,1.153219,NBS_LRR,96.57311178874436,NP_568971.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_566589.1,1.1209879,RLK_defense,97.50243740535606,NP_566589.1 receptor-like kinase 902 [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_196135.1,1.1160802,RLK_defense,97.4692472047628,NP_196135.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001330240.1,1.0223086,NBS_LRR,91.87047524218474,NP_001330240.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001330239.1,0.94057584,NBS_LRR,89.55130997572967,NP_001330239.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_974257.1,0.9284926,RLK_defense,94.60451801605576,NP_974257.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_187480.1,0.9284893,RLK_defense,94.60244362851869,NP_187480.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_196925.2,0.90781474,NBS_LRR,88.67176966000788,NP_196925.2 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001328543.1,0.7932162,NBS_LRR,84.5924865683407,NP_001328543.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_194105.1,0.7932162,NBS_LRR,84.5924865683407,NP_194105.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_180241.1,0.6543454,RLK_defense,81.6271495840853,NP_180241.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001119458.1,0.6133309,NBS_LRR,76.33123820192088,NP_001119458.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_001318827.1,0.6133309,NBS_LRR,76.33123820192088,NP_001318827.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_200638.1,0.6133309,NBS_LRR,76.33123820192088,NP_200638.1 Leucine-rich repeat protein kinase family protein [Arabidopsis thaliana]
RLK (LRR receptor kinase),NP_566494.1,0.59098285,RLK_defense,77.20248096749435,NP_566494.1 Leucine-rich repeat transmembrane protein kinase [Arabidopsis thaliana]
